Date,DATE1,sum_Size,sum_Summit,Success_rate,Merged_Precipitation,Merged_Snowfall,Snow_depth,Temp_observed,Fog
2009-07-31 00:00:00,,161,108,0.67080745341614911,,,,,
2009-07-11 00:00:00,,125,81,0.648,,,,,
2007-07-05 00:00:00,,110,89,0.80909090909090908,,,,,
2009-07-30 00:00:00,,98,76,0.77551020408163263,,,,,
2009-06-13 00:00:00,2009-06-13 00:00:00,84,56,0.66666666666666663,,0,,,
2009-07-10 00:00:00,,175,119,0.68,,,,,
2013-07-27 00:00:00,,224,85,0.3794642857142857,,,,,
2007-07-02 00:00:00,,97,70,0.72164948453608246,,,,,
2008-07-07 00:00:00,2008-07-07 00:00:00,144,95,0.65972222222222221,0,0,,,
2008-06-28 00:00:00,2008-06-28 00:00:00,202,151,0.74752475247524752,,0,,,
2009-07-21 00:00:00,,97,77,0.79381443298969068,,,,,
2009-07-07 00:00:00,,95,71,0.74736842105263157,,,,,
2008-07-18 00:00:00,2008-07-18 00:00:00,170,141,0.8294117647058824,0,0,,,
2015-06-07 00:00:00,2015-06-07 00:00:00,91,66,0.72527472527472525,0,,,,
2007-07-27 00:00:00,2007-07-27 00:00:00,188,98,0.52127659574468088,0,0,0,,
2009-08-14 00:00:00,,112,73,0.6517857142857143,,,,,
2013-08-04 00:00:00,,97,74,0.76288659793814428,,,,,
2008-07-21 00:00:00,2008-07-21 00:00:00,99,71,0.71717171717171713,0,0,,,
2009-07-26 00:00:00,,100,75,0.75,,,,,
2009-07-24 00:00:00,,213,142,0.66666666666666663,,,,,
2015-06-23 00:00:00,2015-06-23 00:00:00,119,109,0.91596638655462181,0,,,,
2008-07-10 00:00:00,2008-07-10 00:00:00,167,122,0.73053892215568861,0,0,,,
2007-07-13 00:00:00,,167,106,0.6347305389221557,,,,,
2015-06-13 00:00:00,2015-06-13 00:00:00,130,99,0.7615384615384615,0,,,,
2009-06-25 00:00:00,2009-06-25 00:00:00,144,85,0.59027777777777779,0,0,,,
2009-07-19 00:00:00,,114,102,0.89473684210526316,,,,,
2009-07-03 00:00:00,,192,104,0.54166666666666663,,,,,
2008-07-09 00:00:00,2008-07-09 00:00:00,94,71,0.75531914893617025,0,0,,,
2009-06-06 00:00:00,2009-06-06 00:00:00,88,62,0.70454545454545459,,0,,,
2009-06-16 00:00:00,2009-06-16 00:00:00,74,51,0.68918918918918914,,0,,,
2009-07-16 00:00:00,,148,124,0.83783783783783783,,,,,
2009-07-02 00:00:00,,151,118,0.7814569536423841,,,,,
2015-06-19 00:00:00,2015-06-19 00:00:00,145,85,0.58620689655172409,0,,,,
